计算点,X坐标(m),Y坐标(m),深度(m),距离(m),沉降值(mm),影响系数,垂直应力(kPa),剪应力τxz(kPa),剪应力τyz(kPa),对应土层
W1,1.6500000000000001,0,1.0,1.6500000000000001,141.08935207279467,0.03364543556246826,53.57668949333198,88.40153766399779,0.0,素填土
W2,3.3000000000000003,0,1.0,3.3000000000000003,57.68140359774464,0.0050077143711341355,2.9383803058189466,9.696655009202525,0.0,素填土
W3,4.949999999999999,0,1.0,4.949999999999999,29.69762843963689,0.0014805053933335764,0.4361197460110365,2.1587927427546303,0.0,素填土
W4,6.6000000000000005,0,1.0,6.6000000000000005,14.550526773240612,0.000615214686665389,0.108068639896654,0.7132530233179165,0.0,素填土
W5,1.6500000000000001,0,2.0,1.6500000000000001,127.70313431200894,0.032349233889437314,97.79701535050948,80.68253766417034,0.0,素填土
W6,3.3000000000000003,0,2.0,3.3000000000000003,58.72754756329524,0.008411358890617065,13.394172373332996,22.100384415999446,0.0,素填土
W7,4.949999999999999,0,2.0,4.949999999999999,30.312015999303977,0.002875462372538013,2.642075611619631,6.539137138758586,0.0,素填土
W8,6.6000000000000005,0,2.0,6.6000000000000005,14.772066775032156,0.0012519285927835339,0.7345950764547367,2.424163752300631,0.0,素填土
W9,1.6500000000000001,0,3.0,1.6500000000000001,49.485850318238384,0.02231998191254907,82.20075409780841,45.21041475379463,0.0,淤泥质粘土
W10,3.3000000000000003,0,3.0,3.3000000000000003,26.45430644393761,0.009003268557151741,21.919944359851215,24.11193879583634,0.0,淤泥质粘土
W11,4.949999999999999,0,3.0,4.949999999999999,14.09504288929278,0.003738381729163142,5.952965499259114,9.822393073777537,0.0,淤泥质粘土
W12,6.6000000000000005,0,3.0,6.6000000000000005,6.8814330570121784,0.0017715247869125924,1.9310255222460138,4.2482561489412305,0.0,淤泥质粘土
W13,1.6500000000000001,0,4.0,1.6500000000000001,40.23873165920757,0.015123016417907873,60.44119146610924,24.931991479770062,0.0,淤泥质粘土
W14,3.3000000000000003,0,4.0,3.3000000000000003,24.350266416680192,0.008087308472359328,24.44925383762737,20.170634416042585,0.0,淤泥质粘土
W15,4.949999999999999,0,4.0,4.949999999999999,13.720940637297108,0.00402207776759308,8.78087992402435,10.86633890598013,0.0,淤泥质粘土
W16,6.6000000000000005,0,4.0,6.6000000000000005,6.821780523372556,0.0021028397226542663,3.348543093333249,5.525096103999862,0.0,淤泥质粘土
